CMDLINE /Users/boris/Documents/Websites/SciPost/scipostenv/bin/python manage.py shell
MEM 0.269531 1519143030.3997
MEM 11.558594 1519143030.5028
MEM 18.687500 1519143030.6043
MEM 25.253906 1519143030.7047
MEM 32.878906 1519143030.8100
MEM 34.859375 1519143030.9138
MEM 40.769531 1519143031.0141
MEM 48.843750 1519143031.1194
MEM 56.531250 1519143031.2210
MEM 61.964844 1519143031.3214
MEM 64.722656 1519143031.4266
MEM 69.054688 1519143031.5305
MEM 71.914062 1519143031.6308
MEM 73.550781 1519143031.7361
MEM 78.179688 1519143031.8363
MEM 78.890625 1519143031.9405
MEM 78.890625 1519143032.0440
MEM 78.890625 1519143032.1474
MEM 78.890625 1519143032.2480
MEM 78.890625 1519143032.3530
MEM 78.898438 1519143032.4537
MEM 78.914062 1519143032.5544
MEM 78.914062 1519143032.6549
MEM 78.914062 1519143032.7605
MEM 78.914062 1519143032.8631
MEM 78.914062 1519143032.9668
MEM 79.238281 1519143033.0697
MEM 79.238281 1519143033.1715
MEM 79.238281 1519143033.2770
MEM 79.238281 1519143033.3807
MEM 79.238281 1519143033.4812
MEM 79.238281 1519143033.5865
MEM 79.238281 1519143033.6880
MEM 79.238281 1519143033.7935
MEM 79.238281 1519143033.8973
MEM 79.238281 1519143033.9979
MEM 79.238281 1519143034.1032
MEM 79.953125 1519143034.2044
MEM 80.859375 1519143034.3087
MEM 81.339844 1519143034.4140
MEM 81.359375 1519143034.5146
MEM 81.359375 1519143034.6198
MEM 81.359375 1519143034.7213
MEM 81.359375 1519143034.8268
MEM 81.359375 1519143034.9272
MEM 81.359375 1519143035.0306
MEM 81.359375 1519143035.1359
MEM 81.359375 1519143035.2365
MEM 81.359375 1519143035.3370
MEM 81.359375 1519143035.4379
MEM 81.359375 1519143035.5435
MEM 81.410156 1519143035.6478
MEM 81.410156 1519143035.7532
MEM 81.414062 1519143035.8587
MEM 81.421875 1519143035.9641
MEM 81.519531 1519143036.0646
MEM 81.695312 1519143036.1697
MEM 81.828125 1519143036.2700
MEM 81.949219 1519143036.3703
MEM 82.171875 1519143036.4742
MEM 82.414062 1519143036.5773
